"X1","X2","value"
"cumul2B","cumulH",0.967841989690927
"cumulR","cumulAB",0.967451239137494
"WAR","WAA",0.965480922714692
"Plays","Rrep",0.964757383521513
"lgOPS","lgBA",0.964704741343943
"WPA..1","PA",-0.964653848136499
"WPA.","TB",0.964545320028409
"H","PA",0.964269580309867
"avgG","avgPA",0.964012065797687
"Rrep","AB",0.96394256009715
"cumul2B","cumulPA",0.963723751938124
"lgBA","AIR",0.96371986873211
"Plays","H",0.96349317274838
"waaWL.","RAA",0.963472357705091
"OWn.","OPS.",0.963282480312023
"waaWL.","WAA",0.963161222509148
"TB_tm","OPS_tm",0.963085832370632
"cumul2B","cumulAB",0.963051739686614
"RAR","WAA",0.962707245238707
"OPS","SLG",0.962046759833458
"avgAB","avgG",0.961842819756969
"WPA.LI","Rbat",0.961590798661653
"RAR","RAA",0.961080695786395
"WPA..1","Plays",-0.960909292948536
"WAR","RAA",0.96035514096042
"cumulOPS","cumulSLG",0.960307669967742
"OWn.","RC.G",0.959189121931223
"Outs","Rrep",0.958865923500104
"HR.","ISO",0.958445168267956
"RBI_tm","OPS_tm",0.956234458853086
"avgR","avgPA",0.955740297511637
"avgTB","avgH",0.955328848267235
"WPA.LI","BtWins",0.955260898820434
"lgOBP","lgBA",0.95520249013244
"WPA.LI","BtRuns",0.954795117405634
"avgTB","avgPA",0.954555316633482
"RE24.boLI","WPA.LI",0.954108662579181
"RE24","WPA.LI",0.953753986423887
"REW","WPA.LI",0.953689755870176
"X162WL.","waaWL.",0.953525544389575
"WPA.","RC",0.953440364663954
"Born","First.Year",0.953092938884074
"OWn.","OPS",0.952299002465356
"TotA","OWn.",0.951508468844727
"TB","H",0.95148112994468
"R.G_b","OPS_tm",0.951336286594965
"OPS_tm","R_tm",0.951189145756896
"X162WL.","WAR",0.950599625419445
"X162WL.","RAR",0.949619188701506
"cumulTB","cumulG",0.949569392304533
"avgTB","avgR",0.949504400912168
"avgTB","avgAB",0.948752060753145
"avgH","avgR",0.948050443270204
"TotA","OPS.",0.946463840048341
"cumul2B","cumulR",0.94625208989504
"RC.G","OPS.",0.945532842694641
"lgSLG","lgBA",0.945170723144523
"avgTB","avg2B",0.944857747300537
"avgTB","avgRBI",0.943989731143231
"New.Avg.Salary.ADJ","Next.Salary.ADJ",0.943617019382723
"cumulR","cumulG",0.943203687888968
"avgR","avgAB",0.940687670829033
"RC","R",0.939676481738233
"Outs","H",0.939001446938315
"cumul2B","cumulG",0.938419179214638
"New.Avg.Salary.ADJ","Next.Salary",0.938249949079637
"cumulRBI","cumul2B",0.937778014977456
"avgH","avgG",0.937646605944183
"WPA.","PA",0.93722528926221
"cumulRBI","cumulHR",0.937052750006089
"waaWL.","WAR",0.937015271143613
"TB","PA",0.937005670933957
"Ch","A",0.936701270416267
"TB","R",0.936453682636451
"waaWL.","RAR",0.936247698873308
"WPA..1","Rrep",-0.935717235037738
"lgSLG","lgOBP",0.934412857413725
"WHIP","ERA",0.932671246964031
"WPA.","H",0.932659540377978
"RE24","Rbat",0.932562642584899
"RE24.boLI","Rbat",0.932194236003511
"REW","Rbat",0.932152019492183
"WHIP","R.G_p",0.93205256301602
"WPA.","Plays",0.931621277086606
"WHIP","RA",0.931559991062602
"TB","AB",0.931438406619561
"Rrep","H",0.930695698578779
"WHIP","ER",0.929973122158901
"Plays","R",0.92972385386955
"BtWins","OPS.",0.929335115234709
"BtRuns","OPS.",0.928649079390195
"Plays","TB",0.928604761743744
"cumulCS","cumulSB",0.928147466431573
"REW","BtWins",0.927038555047284
"RE24","BtRuns",0.926661965893927
"REW","BtRuns",0.926549256059709
"Rbat","OPS.",0.926470008840952
"RE24.boLI","BtRuns",0.926370684850755
"RE24","BtWins",0.926254921649931
"TB","RBI",0.926096117941006
"RE24.boLI","BtWins",0.926051100943732
"R","PA",0.924345065374739
"WPA.","R",0.923877305259605
"avg2B","avgH",0.923712497357447
"H","R",0.923353304329928
"HR.FB","ISO",0.922686233083975
"OPS.","SLG",0.922544620420623
"WPA.","AB",0.921809607460414
"PA","G",0.921274559038121
"avgRBI","avgHR",0.920421050142125
"avg2B","avgPA",0.92002255024039
"XBH.","ISO",0.919976557718714
"cumulOPS.","cumulSLG",0.91821733351232
"avg2B","avgAB",0.918091037991373
"AB","G",0.917567256917151
"TB_tm","RBI_tm",0.917379430507114
"cumulSF","cumul2B",0.916674292844239
"ISO","SLG",0.91652679076174
"REW","WPA",0.916251885416546
"Outs","G",0.916120697608205
"RC","H",0.916072310861663
"RE24","WPA",0.916047091755603
"WPA..1","H",-0.91600186300566
"Plays","G",0.915995583754537
"RE24.boLI","WPA",0.915850136749226
"cumulRBI","cumulPA",0.915693050144067
"cumulSF","cumulRBI",0.915457966437727
"cumulSF","cumulTB",0.914738765180814
"cumulRBI","cumulH",0.913397365530844
"avgCS","avgSB",0.912980357993815
"SLG_tm","RBI_tm",0.912233314275286
"oRAR","RAR",0.91214987664179
"cumulRBI","cumulR",0.9112624479946
"oWAR","RAR",0.910640830253993
"cumulRBI","cumulAB",0.909445602558707
"oWAR","WAR",0.909333614203656
"cumulBB","cumulR",0.908988062287134
"Rrep","TB",0.908931750854878
"TotA","SLG",0.908525033434599
"avgTB","avgG",0.908339201347474
"oRAR","WAR",0.908329185897411
"TB_tm","R_tm",0.907977232338409
"R","AB",0.907733912609376
"cumulSF","cumulPA",0.907709215552827
"TB_tm","R.G_b",0.907700328334158
"RC.G","Rbat",0.907626302935527
"BtRuns","RC.G",0.905963776902286
"cumulSF","cumulAB",0.905231768654764
"cumulSF","cumulH",0.905163167843237
"BtWins","RC.G",0.903796611876488
"WPA.","RBI",0.903342379917526
"RC","RBI",0.901342368662963
"SLG_tm","R.G_b",0.90128351571931
"SLG_tm","R_tm",0.901131960180767
"WPA.LI","RC.G",0.900952174352783
"WPA..1","G",-0.900598000645657
"GO.AO","GB.FB",0.900474068492953
"Outs","TB",0.900198511039616
"avgR","avgG",0.899834635736084
"WPA.LI","TotA",0.898960155574613
"WPA.","Rrep",0.89843069621155
"TotA","BtRuns",0.898061516415371
"cumulG","Yrs",0.897651818971679
"Rrep","R",0.896828380480725
"TotA","BtWins",0.896655030357937
"TotA","Rbat",0.896317461594713
"H.9","RA",0.896169169341104
"H.9","ERA",0.896165593252375
"R.G_p","H.9",0.89582857576154
"RC.G","SLG",0.89582422096665
"RC","oRAR",0.89513757723958
"WPA.LI","OPS.",0.89508269425217
"Rbat","OPS",0.894868895348102
"WPA.","Outs",0.894811111773206
"WPA.LI","WPA",0.894611601332997
"avgHR","cumulSLG",0.89449460970665
"H.9","ER",0.894416711928424
"cumulRBI","cumulG",0.894308049504101
"XBH.","SLG",0.893986824123269
"cumulSF","cumulG",0.893751063539249
"BtRuns","OPS",0.893411594088842
"BtWins","OPS",0.892528877340753
"oWAR","Rbat",0.892152429620406
"OPS_tm","OBP_tm",0.892005759161921
"RC","PA",0.891505407204779
"oRAR","Rbat",0.891453297287276
"R.G_b","OBP_tm",0.889892004725872
"OBP_tm","R_tm",0.889774577689999
"WPA..1","TB",-0.888911753698966
"WPA..1","WPA.",-0.88851055766173
"RBI","HR",0.88836203796341
"RC","oWAR",0.888021983685044
"Plays","RC",0.886645569308212
"avg2B","avgR",0.885621398147137
"OWn.","Rbat",0.884715249223089
"X.H.","XBH.",0.884540982983538
"cumulGDP","cumulH",0.884272113806203
"SecA","TotA",0.883414252752845
"Rrep","G",0.883327212118331
"IP.","SO.",-0.883226377527133
"BtWins","OWn.",0.883124225940112
"RBI_tm","OBP_tm",0.882708503577873
"WHIP","H.9",0.882093551807238
"TB","X2B",0.882066053059755
"RE24","RC.G",0.881992031149984
"BtRuns","OWn.",0.881905537217921
"avgIBB","cumulIBB",0.881789820431329
"WPA.LI","OPS",0.881592274097021
"WPA.LI","OWn.",0.881487442836438
"avg2B","avgG",0.881172461311994
"RE24.boLI","RC.G",0.881171110118811
"Outs","R",0.880785962162524
"RC.G","OBP",0.88042726757966
"WHIP","BF",0.880293360623183
"OWn.","SLG",0.880005899187282
"AB.SO","SO.",-0.879154995142764
"cumulGDP","cumulAB",0.879154899242599
"H_p","ER",0.878779083951005
"avgRBI","avg2B",0.878537133434311
"REW","RC.G",0.878226587325398
"H_p","RA",0.877953781571113
"H","G",0.877663894981308
"cumulGDP","cumul2B",0.877050138037026
"cumulBB","cumulPA",0.876776321316855
"R.G_p","H_p",0.876662652997385
"X2B","H",0.876516182252636
"BtRuns","oWAR",0.875592238656291
"BtWins","oWAR",0.875471620447244
"cumulGDP","cumulTB",0.874892221195416
"BtRuns","oRAR",0.874044508658641
"BtWins","oRAR",0.872891236050023
"X.H.","ISO",0.872759919222477
"cumulTB","cumulBB",0.872296020503756
"H_p","ERA",0.872157872210225
"WPA.LI","oRAR",0.871443594684053
"cumulSF","cumulR",0.871395175290377
"cumulGDP","cumulPA",0.871023960641756
"avgSB","cumulSB",0.870741291812802
"WPA.LI","oWAR",0.870716813034682
"RE24","TotA",0.870127662579332
"PA_tm","OBP_tm",0.870118228424625
"RE24.boLI","TotA",0.869381214736984
"cumulTB","cumulHR",0.868797689471988
"cumulGDP","cumulG",0.868131043523138
"cumulGDP","cumulRBI",0.868076056236792
"cumulSO","cumulRBI",0.867781692548555
"OWn.","OBP",0.867509536102612
"REW","TotA",0.867067289380725
"avgSH","cumulSH",0.866948084226254
"RC","AB",0.866093301643934
"REW","OPS.",0.865201053886598
"Yrs","Age",0.86487442983727
"RE24","OPS.",0.864260844764481
"RE24.boLI","OPS.",0.863595809424187
"REW","OWn.",0.863519003070567
"HR.","HR",0.86351454631335
"dWAR","Rfield",0.86325697671606
"RE24","OWn.",0.862674158163909
"RE24.boLI","OWn.",0.862459552974856
"WHIP","H_p",0.861831628619337
"RC","Rrep",0.861124767404439
"cumulTB","cumulSO",0.859917410556489
"SLG_tm","HR_b",0.859659202408413
"TotA","OBP",0.858668303767657
"ISO","HR",0.85865082438239
"WPA","Rbat",0.858016310095379
"X2B","AB",0.85794534730862
"WPA.","G",0.856838886952588
"X2B","PA",0.856441149262628
"WPA..1","R",-0.855654517277153
"ISO","SecA",0.854556551419772
"TB","G",0.85388224968612
"avgCS","cumulCS",0.853559229463585
"RE24","oRAR",0.852769362888322
"RE24.boLI","oRAR",0.852748945616129
"cumulSO","cumulHR",0.85260818069291
"cumulBB","cumulG",0.852386825306964
"REW","oRAR",0.852356587829626
"cumulBB","cumulRBI",0.852152899626731
"REW","oWAR",0.851973896176098
"WPA","BtWins",0.851917025028879
"RE24.boLI","oWAR",0.851436846239157
"WPA","BtRuns",0.85138311687964
"RE24","oWAR",0.851351665045211
"cumulSF","cumulGDP",0.849303556941237
"WPA.","X2B",0.84817198681168
"RE24","OPS",0.847710261733862
"RE24.boLI","OPS",0.846616459224367
"Plays","X2B",0.846081254979157
"avgHR","cumulOPS",0.846010128050183
"oWAR","WAA",0.845375337623866
"REW","OPS",0.845289104184068
"cumulBB","cumulAB",0.844984520389469
"oWAR","OPS.",0.84458923633458
"avgHBP","cumulHBP",0.844482736168115
"oRAR","WAA",0.843598700078657
"oRAR","RAA",0.843087028563063
"oRAR","OPS.",0.842782869711482
"BF","RA",0.842344323100081
"cumulBB","cumulH",0.842273410528449
"oWAR","RAA",0.842142448628925
"HR.","SLG",0.842106174286964
"Rbat","SLG",0.841977451193255
"avgHR","cumulHR",0.84142301560207
"RC","X2B",0.840908852018008
"R.G_p","BF",0.840271394281172
"cumulBB","cumul2B",0.840209208839699
"cumulPA","Yrs",0.839811256969453
"avgRBI","avgPA",0.839674454356078
"BtRuns","SLG",0.839268352917232
"cumulAB","Yrs",0.838814011592015
"ER","BF",0.838727282882122
"BtWins","SLG",0.838115748537053
"cumulSO","cumulPA",0.836799653391647
"avgRBI","avgR",0.834564751315947
"WPA.LI","SLG",0.834342720596197
"OPS","OBP",0.834262545248061
"cumulOPS.","cumulOBP",0.834076728139676
"cumulSO","cumulR",0.833846326384052
"RC.G","oRAR",0.832965440272424
"Outs","X2B",0.831580572639028
"WHIP","SO.BB",-0.831538591769698
"H_b","AB_tm",0.831387727502252
"oWAR","X162WL.",0.830874776143
"oRAR","X162WL.",0.830519138953084
"avgRBI","avgH",0.83050183072179
"OBP_tm","BA_tm",0.830190675604004
"RC.G","oWAR",0.829463660235366
"OPS.","OBP",0.828822274595214
"Rrep","X2B",0.828812973242672
"cumulSO","cumulG",0.827873693822708
"cumulSO","cumulAB",0.826068845457719
"R","G",0.825888931852294
"avgRBI","avgAB",0.825545868529417
"SO.BB","BB.9",-0.825358946700202
"OWn.","oWAR",0.82424554586738
"OWn.","oRAR",0.823583745409313
"avg3B","cumul3B",0.823423756277685
"RBI","R",0.82232574738992
"TotA","oRAR",0.821418019579486
"RC","Outs",0.821231171526927
"oWAR","waaWL.",0.820990474546121
"oRAR","waaWL.",0.820727730761742
"OPS_tm","BA_tm",0.820589092486071
"ISO","OPS",0.820434320775657
"X2B","R",0.82018112170666
"PA_tm","R_tm",0.819986764865344
"RC","RAR",0.819741257003215
"avgBB","cumulBB",0.819468245084331
"oRAR","TB",0.818972945581722
"RBI","PA",0.818767428184718
"TotA","oWAR",0.818529106634372
"R.G_b","PA_tm",0.818081819994939
"TB","HR",0.817654031952851
"RBI","H",0.81761650352762
"RBI_tm","PA_tm",0.816646658818803
"TB_tm","HR_b",0.816512481156398
"avgTB","avgHR",0.816160943379753
"X.Pitch","X.Bat",0.815983967214062
"WPA..1","X2B",-0.815982026927675
"IP.","AB.SO",0.815969564368646
"HR.FB","HR",0.815867719985451
"SLG","HR",0.815837620205582
"avgHR","cumulOPS.",0.81574393078382
"cumulH","Yrs",0.815092688005264
"TB_tm","H_b",0.814772423956422
"cumulSO","cumul2B",0.814772217278752
"cumulSO","cumulBB",0.814754438329285
"LOB_p","BF",0.814460670298496
"SO.BB","BB_p",-0.814272631193052
"ERA","BF",0.813982544080583
"avgBB","avgR",0.813467609067857
"cumulOPS","cumulOBP",0.81282587218825
"avgSF","avgRBI",0.8126067108199
"oWAR","TB",0.812025318522902
"RC","WAR",0.810696705111931
"BAbip","BA",0.810013167597898
"Rrep","RBI",0.809972089894499
"oRAR","OPS",0.8095020524513
"avgRBI","cumulSLG",0.808767438734848
"OPS_tm","H_b",0.808056628459258
"RC","BB",0.807367871832764
"oWAR","OPS",0.807050815110378
"WPA..1","RC",-0.805935065571905
"cumulGDP","cumulR",0.805543331969311
"oRAR","R",0.805405153477943
"RC","HR",0.804144082137252
"RBI","AB",0.803783180958383
"avgRBI","cumulOPS",0.803737516734793
"avgRBI","avgG",0.803534536672754
"PA_tm","LOB_b",0.803069773062535
"XBH.","HR.",0.802727071979081
"WPA.","oRAR",0.802065318435162
"RC","G",0.801846873645166
"ISO","TotA",0.801703303803874
"avgSF","avg2B",0.801633709537122
"R.G_b","BA_tm",0.801349089152459
"WPA","RC.G",0.801084661810526
"BA_tm","R_tm",0.800927140549437
"cumulSF","cumulBB",0.800904514676226
"cumulHR","cumul2B",0.800539903177897
"H_b","R_tm",0.79988638743458
"R.G_b","H_b",0.799677580994885
"SecA","OPS",0.799398858453675
"avgSF","avgTB",0.79900934827601
"H_p","BF",0.798401183804218
"Plays","RBI",0.797951228577144
"oWAR","R",0.797661921247502
"HR.FB","SecA",0.797312379246624
"avgBB","cumulOBP",0.797075470205537
"OBP_tm","H_b",0.795924096366515
"avgCS","cumulSB",0.795195471622213
"WPA.","oWAR",0.795149480784776
"avgRBI","cumulHR",0.795064776912492
"avgSF","cumulSF",0.79504449756155
"cumulSO","cumulH",0.793830482817116
"cumulHR","cumulR",0.792946061408078
"HR.","SecA",0.792785707865858
"cumulTB","Yrs",0.792750186513194
"SecA","RC.G",0.792672174304673
"TB_tm","BA_tm",0.791310473101876
"RBI_tm","H_b",0.791251469815662
"PA_tm","OPS_tm",0.790655245865219
"RBI_tm","BA_tm",0.790577202768445
"WPA","TotA",0.789162608095586
"RE24","SLG",0.788414596007098
"avgSB","cumulCS",0.787696295200098
"XBH.","OPS",0.787295190259474
"RE24.boLI","SLG",0.787047644690403
"avgRBI","cumulRBI",0.786889284495151
"X.H.","HR.",0.786776620752199
"avgRBI","cumulOPS.",0.786765869317432
"avgSB","SB",0.786288864632565
"WPA","OPS.",0.786285184170658
"BtRuns","OBP",0.786225702200295
"BtWins","OBP",0.786102287756568
"cumulBB","cumulHR",0.785447891153223
"H.9","DefEff",-0.785271066927318
"REW","SLG",0.785268000770576
"Rbat","OBP",0.784800446757576
"RAR","Rbat",0.784362823662214
"cumulR","Yrs",0.783775581909774
"WPA.LI","RC",0.783101972839574
"RBI","X2B",0.782485297171667
"X2B","G",0.782424018109552
"WPA","OWn.",0.782173821694914
"WAR","Rbat",0.782160445497652
"ISO","OPS.",0.781905149104979
"WPA..1","RBI",-0.781776497533322
"SecA","OPS.",0.781610702820238
"RAA","Rbat",0.780773854080974
"avgSF","avgPA",0.780569256832415
"H_p","DefEff",-0.780384395644318
"WAA","Rbat",0.779018327626465
"HR.FB","SLG",0.778835161457284
"cumul2B","Yrs",0.778109522258097
"cumulIBB","cumulRBI",0.777688393020849
"SecA","SLG",0.77768385500286
"cumulIBB","cumulHR",0.776858242491231
"WPA","oRAR",0.776785971929058
"WPA","oWAR",0.776635199993411
"avgSF","avgH",0.776059907990273
"Outs","RBI",0.775674853072519
"HR.FB","X.H.",0.77511600917857
"avgHR","HR",0.774930269559144
"WPA.","BB",0.77360377059268
"RC.G","RC",0.773541485360342
"avgSF","avgAB",0.773321385570647
"ERA.","ERA",-0.771174095818596
"cumulSF","cumulHR",0.77087465426241
"TotA","RC",0.770217109751682
"X162WL.","Rbat",0.769853507094401
"CS","SB",0.769664841781382
"OPS_tm","HR_b",0.769544698307302
"avgBB","avgPA",0.768729446687161
"RE24","RC",0.768686770188757
"RE24.boLI","RC",0.768581828507908
"avgGDP","cumulGDP",0.768249637308752
"RC","Rbat",0.7675579106156
"WPA","OPS",0.767491530326441
"ERA.","ER",-0.767359600297035
"WPA.","HR",0.767337787453043
"WPA.LI","RAR",0.767233052960701
"WPA.LI","SecA",0.767157832574773
"REW","RC",0.766724732279725
"avgSO","avgHR",0.766606567161424
"SecA","OWn.",0.766581812325997
"RC","OPS.",0.766406839666541
"cumulCS","cumul3B",0.766352303005127
"RC","OPS",0.766070876293381
"BtRuns","RAR",0.765996387003245
"BB","R",0.7650903178892
"BtWins","RAR",0.76493143474638
"avgTB","avgBB",0.764785417699036
"BtRuns","WAR",0.764503091990668
"BtWins","WAR",0.764310450354883
"WPA.LI","WAR",0.763425366681706
"WPA.LI","OBP",0.763342855606241
"BtRuns","RC",0.762886425643655
"TB_tm","OBP_tm",0.762399334709771
"H.9","BF",0.762183685493678
"RE24","OBP",0.762013950969592
"RE24.boLI","OBP",0.761737211959991
"REW","OBP",0.761645493931305
"OWn.","RC",0.761558706336157
"BtWins","RC",0.761403919607947
"cumulHR","cumulPA",0.760644032328765
"BtRuns","RAA",0.760191112874526
"R.G_p","ERA.",-0.760028834021332
"ERA.","RA",-0.759927100885715
"WPA.LI","RAA",0.759910032511972
"cumulSF","Yrs",0.759702273853182
"BtRuns","WAA",0.759611174899838
"BtWins","WAA",0.759544294677668
"BtWins","RAA",0.75918548790639
"cumulGDP","Yrs",0.759138266460973
"Next.Salary","Salary",0.758919629538893
"oRAR","RBI",0.757926396243733
"avgR","cumulR",0.757910074204198
"SecA","BtRuns",0.757354148981767
"SLG_tm","OBP_tm",0.7570273414849
"SecA","BtWins",0.756549903557033
"RAR","TB",0.75585885210852
"RBI","G",0.755794187957835
"WPA.LI","WAA",0.755445616131511
"oRAR","SLG",0.755303384189778
"avgSF","avgG",0.755058287328713
"cumulSLG","ISO",0.753770129549449
"cumulRBI","Yrs",0.753271029657288
"oWAR","SLG",0.753072242204684
"Next.Salary.ADJ","SalaryADJ",0.752569634675614
"RAR","R",0.752280883604742
"SecA","HR",0.752100916370694
"RE24.boLI","RAR",0.751732915104313
"RE24","RAR",0.75142051943407
"oWAR","RBI",0.751039553246771
"REW","RAR",0.750933556433424
"New.Contract.Value.ADJ","New.Avg.Salary.ADJ",0.750678232738139
"waaWL.","Rbat",0.750671996005242
"avgGDP","avg2B",0.750506252066142
"WPA.LI","X162WL.",0.750272705137738
"BtRuns","X162WL.",0.750272569378329
"BtWins","X162WL.",0.750243393084643
"avgBB","BB",0.750025606161456
"oRAR","H",0.749991335531451
"cumulSF","cumulSO",0.749061727527939
"avgBB","avgRBI",0.748921002262588
"WHIP","BB.9",0.748773737828771
"Next.Salary.ADJ","Salary",0.748117644518183
"REW","WAR",0.747688256437666
"RE24.boLI","WAR",0.74764172897754
"WAR","TB",0.747626374088763
"XBH.","OPS.",0.747462426257398
"cumulHR","cumulH",0.747391345471517
"RE24","WAR",0.747267202553994
"OPS","HR",0.746959072387349
"cumulHR","cumulAB",0.746595888874232
"WPA.LI","HR",0.746589092507283
"Next.Salary","SalaryADJ",0.746188667555432
"avgTB","cumulTB",0.745418346034141
"SLG_tm","H_b",0.744622423796558
"SLG_tm","BA_tm",0.74451029749771
"OBP","BA",0.744336853692199
"avgGDP","avgRBI",0.744317260419803
"cumulSLG","HR",0.74326786797539
"oWAR","H",0.742793170270731
"WAR","R",0.742768316367082
"SecA","Rbat",0.742686381890164
"HR.FB","XBH.",0.742140237248
"RE24.boLI","RAA",0.740990844047374
"RE24","RAA",0.740551016091666
"REW","RAA",0.740160576980879
"HR_p","ER",0.740094874773939
"OWn.","waaWL.",0.740061399137527
"avgGDP","avgH",0.739641039392288
"LOB_b","BB_b",0.739423799631184
"BB","PA",0.739205498823221
"waaWL.","OPS.",0.739034596131619
"cumulSLG","SLG",0.739002320782212
"LOB_p","BB_p",0.738878540334796
"XBH.","HR",0.738778128602143
"OPS._tm","OPS_tm",0.738411218692829
"RC.G","waaWL.",0.738207200980455
"ISO","RC.G",0.737719150647313
"OBP_tm","BB_b",0.737237109036238
"REW","WAA",0.736850093085727
"RE24.boLI","WAA",0.736844229500769
"SO_p","SO.BB",0.736688086464283
"WPA.","RAR",0.736356954568472
"RE24","WAA",0.73632361569634
"HR_p","ERA",0.736048792902239
"cumulSLG","cumulHR",0.735994902485243
"cumulIBB","cumulBB",0.735182215838528
"BB.","SecA",0.735003604437694
"cumulIBB","cumulTB",0.734951646438496
"RAR","OPS.",0.734642302485686
"TotA","HR",0.734496734792959
"X.H.","SecA",0.73422844339494
"WAR","OPS.",0.73407292085199
"TB_tm","PA_tm",0.733918463304179
"Plays","BB",0.73375853917569
"WPA.LI","waaWL.",0.733600758083057
"SLG","RBI",0.733523242402651
"RC.G","RAR",0.733301821254807
"avgGDP","avgTB",0.733025784333677
"XBH.","TotA",0.732994219690054
"RC.G","BA",0.732863514956825
"OPS","BA",0.732859178617793
"OWn.","BA",0.732629268503509
"cumulHR","cumulG",0.732360189783549
"cumulSLG","HR.",0.732219573127764
"PA_tm","BB_b",0.732146953171335
"avgTB","cumulRBI",0.731932828557761
"avgTB","cumul2B",0.731775260405197
"cumulG","Age",0.731486977246935
"cumulOPS","TotA",0.731345520672313
"cumulOPS.","OPS.",0.730942433890893
"BB.","BB",0.730495888319958
"avgH","cumulH",0.730187306221292
"avgRBI","cumulTB",0.730118151179146
"HR.","OPS",0.72981507620159
"WHIP","BB_p",0.729699653357077
"avgTB","cumulOPS",0.729619303089368
"avgBB","cumulOPS.",0.729032001773972
"BtWins","waaWL.",0.72875393306088
"REW","X162WL.",0.728552159197795
"BtRuns","waaWL.",0.72840090221943
"RE24.boLI","X162WL.",0.728296657034305
"WPA.","WAR",0.728109353656369
"avgGDP","avgAB",0.728020102264434
"OPS.","HR",0.727728019336817
"RE24","X162WL.",0.727672063474416
"WHIP","ERA.",-0.727660839378014
"LOB_p","BB.9",0.727367519245415
"RC.G","WAR",0.727297278755943
"cumulOPS","OPS",0.726818216461663
"avgSO","SO",0.72644215048084
"cumulBB","Yrs",0.726349498883335
"BtRuns","HR",0.726329338360467
"avgSF","avgR",0.72624879424041
"avgBB","avgG",0.725802374638102
"WPA.LI","ISO",0.725609702648774
"avgSO","avgRBI",0.725543031346664
"RE24","SecA",0.725443444888606
"RE24.boLI","SecA",0.724921014219853
"HR.9","ER",0.72484233090227
"BtWins","HR",0.724720529028182
"ERA.","L",-0.724554484032962
"RC","SLG",0.724414726041657
"avgPA","cumulH",0.724375942365455
"HR.9","ERA",0.724342665523815
"avgR","cumulTB",0.724331546128232
"ERA.","W.L.",0.72393789936011
"cumulOPS.","TotA",0.72385434532308
"PA_tm","H_b",0.723446530112334
"avgPA","cumul2B",0.7233854793699
"HR_p","RA",0.723229244032444
"ERA.","W",0.723013484166198
"oRAR","OBP",0.72276971497241
"SO.BB","SO.9",0.722640248679802
"REW","SecA",0.722604759001347
"Rbat","HR",0.722521095865051
"ISO","BtRuns",0.722152112912263
"OWn.","RAR",0.722117406354033
"R.G_p","HR_p",0.722042560438354
